neighborhood,studio,1_bedroom,2_bedroom
Upper West Side,1975,2750,4350
Bedford-Stuyvesant,1650,1975,2200
Bushwick,1731,2150,2100
Upper East Side,1898,2395,3295
Williamsburg,2491,2500,2584
Astoria,1575,1875,2200
Hell's Kitchen,2012,2742,3900
Crown Heights,1759,1850,2200
Midtown East,2100,3208,4600
Chelsea,2323,3125,4959
Flatbush,1618,1800,2117
Financial District,2195,3027,3650
Long Island City,1971,2500,3300
Flushing,1600,1750,2150
West Harlem,1937,2647,2400
Central Harlem,1713,2000,2667
East Village,1850,2425,2933
Murray Hill,2400,3350,4678
Ridgewood,1811,1800,2000
East Harlem,1600,2000,2300
Park Slope,2100,2475,2700
West Village,2300,3310,4995
Washington Heights,1650,1775,2163
Downtown Brooklyn,2310,3150,4057
Rego Park,1673,1850,2300
Kips Bay,2150,2698,3646
Theater District,2423,3300,4850
Greenpoint,2350,2400,2550
NoMad,2970,4750,7150
Bay Ridge,2038,1750,2109
East New York,1575,1750,1995
Elmhurst,1563,1800,2236
Bowery,2500,2999,2850
Clinton Hill,1900,2300,2950
Tribeca,2538,3800,5625
Forest Hills,1575,1900,2300
East Flatbush,2700,1725,1950
Gramercy Park,2400,3398,3630
Lower East Side,2275,2375,3195
Ocean Hill,1700,1800,2100
Jackson Heights,1575,1800,2150
Prospect Heights,1916,2375,2700
Woodside,1550,1700,2173
Greenwich Village,2300,3495,4500
Sheepshead Bay,1570,1665,2200
Bayside,1850,1850,2300
Flatiron District,4098,5483,9295
Sunset Park,5900,1725,1900
Carroll Gardens,2175,2400,3000
Soho,2400,2895,3850
Maspeth,2000,1750,2000
Battery Park City,2200,2733,4431
Corona,1500,1600,1950
Far Rockaway,1823,1775,2160
Greenwood Heights,2100,1900,2100
Boerum Hill,2446,2300,2750
Jamaica,1600,1815,2200
Gravesend,5800,1600,1838
Briarwood,1438,1700,2050
Canarsie,2000,1500,1950
Garment District,2923,3175,4000
NoLita,2487,3025,3500
Kew Gardens,1450,1800,2125
Fort Greene,2200,2500,3000
Chinatown,3000,2850,2200
Bensonhurst,4200,1500,1795
Kew Gardens Hills,1450,1699,2100
Glendale,1400,1675,2000
Richmond Hill,2200,1695,1980
Midwood,1600,1688,2000
Inwood,1699,1733,2100
Riverdale,2300,1850,2600
Queens Village,2300,1650,2000
Mott Haven,1627,1550,2295
Dyker Heights,1475,1900,1900
Two Bridges,1895,2500,3203
Koreatown,1795,1555,2888
Woodhaven,1500,1600,1925
Wakefield,1750,1680,1800
Rockaway Beach,1850,1650,2000
Brownsville,2000,1780,1888
Auburndale,1838,1675,2175
Kensington,2200,1850,2123
Brighton Beach,2050,1575,2050
Bath Beach,1599,2600,1825
Brooklyn Heights,2750,2000,3450
Gowanus,1750,1945,2350
Stapleton,3279,1600,3200
Flatlands,1998,1653,2000
