,Venue,Category,Latitude_x,Longitude_x,Neighborhood,ZIP,Borough,Longitude_y,Latitude_y
0,Wakefield Eye Care,Optometrist,40.898682,-73.849352,Wakefield,10466,Bronx,-73.84720052054902,40.89470517661
1,Advanced Dental Group,Dentist,40.875278,-73.828492,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
2,Creating Smiles,Dentist,40.871558,-73.830285,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
3,NYC Health & Hospitals,Medical Center,40.873701,-73.826771,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
4,Montefiore Medical Group,Physician,40.877116,-73.82847,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
5,Statcare Urgent & Walk-In Medical Care (Bronx Bartow Mall),Health and Medicine,40.870096,-73.828306,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
6,Spark Program,Mental Health Clinic,40.874113,-73.831777,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
7,Benjamin Vlad Katayev,Dentist,40.875489,-73.828674,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
8,Dreiser Health Plaza,Health and Medicine,40.876223,-73.829576,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
9,Dreiser Physical Therapy & Rehabilitation PC,Physical Therapy Clinic,40.876273,-73.82971,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
10,City Family Dental,Dentist,40.871613,-73.830243,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
11,Co-Op City Chiropractic,Chiropractor,40.871481,-73.830431,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
12,New York Foundling Hospital,Hospital,40.874274,-73.825478,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
13,Rimisac Family Health Pc,Family Medicine Doctor,40.874279,-73.825303,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
14,"Somayaji, Suhas - Suhas Somayaji",Physical Therapy Clinic,40.877605,-73.828356,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
15,Boston Post Rd Dialysis,Health and Medicine,40.884443,-73.831404,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
16,Darcy Chiropractic,Chiropractor,40.884441,-73.831492,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
17,Co-Op City Dialysis Center,Healthcare Clinic,40.884441,-73.831492,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
18,Rapid MD Urgent Care,Health and Medicine,40.884357,-73.831595,Co-op City,10475,Bronx,-73.82993910812398,40.87429419303012
19,Riverdale Lactation Center,Hospital,40.892949,-73.903551,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
20,Wasserman Cosmetic and Family Dentisty,Dentist,40.908995,-73.903846,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
21,Taiji New York Acupuncture,Acupuncture Clinic,40.906288,-73.904008,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
22,Riverdale Dental Care,Dentist,40.906571,-73.903536,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
23,High Ridge House,Nurse,40.909559,-73.90711,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
24,Pearl Dental Spa,Dentist,40.906424,-73.90502,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
25,Essen Urgent Care,Urgent Care Center,40.906424,-73.90502,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
26,Dwell Family Doctors,Physician,40.906316,-73.905016,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
27,Riverdale Mental Health Association,Mental Health Clinic,40.906236,-73.903962,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
28,Urgent Care,Urgent Care Center,40.906006,-73.904479,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
29,Dental Oral Surgery,Dentist,40.910646,-73.902825,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
30,Robert W Morrow,Family Medicine Doctor,40.908398,-73.903955,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
31,The Physical Medicine and Rehabilitation Center,Physical Therapy Clinic,40.910974,-73.902606,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
32,The Hebrew Home For The Aged At Riverdale,Nursing Home,40.909988,-73.909274,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
33,The Center for Prosthetics & Orthotics,Doctor's Office,40.905233,-73.900944,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
34,Chiropractic Works,Chiropractor,40.908398,-73.903955,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
35,Jerrold Wasserman,Dentist,40.908779,-73.903838,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
36,"Julie Weiner, M.S., LMHC, BCB, EFTCert-I, Licensed Mental Health Counselor",Mental Health Service,40.90769,-73.904242,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
37,American Family Care,Health and Medicine,40.909887,-73.902828,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
38,Health Galaxi Bronx,Health and Medicine,40.906571,-73.903536,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
39,Essen,Emergency Service,40.906424,-73.90502,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
40,Metro UrgiCare,Health and Medicine,40.906261,-73.905058,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
41,La Weight Loss,Nutritionist,40.906127,-73.903958,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
42,Declemente Joseph Group Home,Assisted Living Service,40.90786,-73.907967,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
43,Homeocare Laboratories,Health and Medicine,40.906911,-73.901646,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
44,Freeman Nutrition,Nutritionist,40.90428,-73.904327,Fieldston,10471,Bronx,-73.90564259591682,40.89543742690383
45,Coagulation Sciences,Health and Medicine,40.895337,-73.911439,Riverdale,10471,Bronx,-73.9125854610857,40.890834493891305
46,"Advanced Dental Care of Riverdale: Dr. Daniel Faiwiszewski, DMD",Dentist,40.890045,-73.913298,Riverdale,10463,Bronx,-73.9125854610857,40.890834493891305
47,Dr Dan,Doctor's Office,40.890091,-73.913607,Riverdale,10463,Bronx,-73.9125854610857,40.890834493891305
48,Westchester Putnam White,Nursing Home,40.883196,-73.918909,Riverdale,10463,Bronx,-73.9125854610857,40.890834493891305
49,Riverdale Pediatric Dentistry,Dentist,40.889834,-73.911056,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
50,Titanium Dental,Dentist,40.889834,-73.911056,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
51,Atria Riverdale,Nursing Home,40.888177,-73.910337,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
52,Molie & Jack Zicklin Hospice,Hospice,40.88818,-73.910249,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
53,"Dr Bar-David, Dr Friedman, Podiatrist",Doctor's Office,40.887509,-73.9111,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
54,Riverdale Dental P.C.,Dentist,40.889779,-73.911098,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
55,Advanced Dental of Riverside,Dentist,40.8892,-73.912566,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
56,"Jeffrey B Schoengold, DDS PC",Dentist,40.889144,-73.912607,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
57,Riverdale Wellness Group,Chiropractor,40.888474,-73.911399,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
58,Center For Attention Deficit Disorders,Psychologist,40.888352,-73.909862,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
59,Rehabilitation Associates of Riverdale Medicine,Physical Therapy Clinic,40.888352,-73.909862,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
60,Goodman Adam DMD,Dentist,40.886812,-73.912914,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
61,"Susan Siegel, DDS",Dentist,40.886539,-73.913035,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
62,Broadway Animal Hospital of Riverdale,Veterinarian,40.880759,-73.902656,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
63,PM Pediatric Urgent Care,Health and Medicine,40.882898,-73.901466,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
64,Riverdale Dialysis,Medical Center,40.879877,-73.903324,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
65,Riverdale Animal Hospital,Veterinarian,40.884281,-73.902307,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
66,Riverdale Eye Care,Health and Medicine,40.87945,-73.905191,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
67,"Ofer Cohen, DDS - Cohen's Gentle Dental",Dentist,40.878882,-73.904163,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
68,"Kumrah, Praveen, DPM",Podiatrist,40.879969,-73.905999,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
69,Borgella Reginald DDS,Dentist,40.879854,-73.906257,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
70,Luiza Guseynov M D,Health and Medicine,40.880019,-73.906132,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
71,Cohen's Fashion Optical,Ophthalmologist,40.878655,-73.904592,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
72,Kingsbridge Pharmacy,Health and Medicine,40.878912,-73.905083,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
73,Broadway Eye Care,Ophthalmologist,40.878802,-73.905167,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
74,CityMD Riverdale,Health and Medicine,40.884499,-73.900169,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
75,Citadel Rehabilitation and Nursing Center at Kingsbridge,Nursing Home,40.880281,-73.898215,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
76,Medical & Health Care Offices,Doctor's Office,40.883412,-73.898332,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
77,Godwin Medical Pc,Doctor's Office,40.878783,-73.905867,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
78,Ola Pediatrics PC,Health and Medicine,40.878836,-73.905913,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
79,NY Physical Therapy & Orthopedic Medical Pavillion,Physical Therapy Clinic,40.885142,-73.900368,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
80,"David S. Lee, MD",Physician,40.879976,-73.907795,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
81,Enzo Clinical Labs-Riverdale,Medical Lab,40.879868,-73.907791,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
82,Physical Medicine & Rehabilitation of Ny PC,Physician,40.884965,-73.898872,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
83,AFC Urgent Care Kingsbridge,Health and Medicine,40.877991,-73.90518,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
84,"Pinzon, Robin Dr-Riverdale Family Practice",Family Medicine Doctor,40.879976,-73.907795,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
85,Premier Family Dentistry,Dentist,40.878799,-73.907313,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
86,Manhattanville Health Care Center,Nursing Home,40.881143,-73.908627,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
87,Luckow Scott DVM,Veterinarian,40.880745,-73.903181,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
88,All Medical Care Management,Rehabilitation Center,40.882686,-73.903342,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
89,Neighborhood Medical Healthcare PC,Health and Medicine,40.880097,-73.903157,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
90,Active Care Chiropractic & Natural Wellness Center,Chiropractor,40.880127,-73.90202,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
91,Advocates For Services For The Blind Multi Handicapped,Healthcare Clinic,40.882721,-73.906146,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
92,Holistic Home Care Associates,Health and Medicine,40.884462,-73.901569,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
93,Internal Medicine Geriatrics,Internal Medicine Doctor,40.880021,-73.906158,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
94,BJ's Optical,Optometrist,40.883909,-73.900015,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
95,Cambridge Podiatry Center - Donald Spector DPM,Podiatrist,40.880162,-73.906882,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
96,Bronx Health and Pain Management,Physician,40.883192,-73.898499,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
97,Mi Farmacia,Health and Medicine,40.8782,-73.901334,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
98,Shiel Medical Labs,Medical Lab,40.884667,-73.899956,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
99,Kingsdale Acupuncture,Acupuncture Clinic,40.883302,-73.898416,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
100,NY Weight Loss & Wellness Center,Nutritionist,40.883412,-73.898332,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
101,Ana Olivero MD,Pediatrician,40.87872,-73.906038,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
102,Electrodiagnostics & Physical Medicine Pc,Physical Therapy Clinic,40.885142,-73.900368,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
103,Riverdale Family Practice PC,Family Medicine Doctor,40.881535,-73.908072,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
104,"David I Sahar, MD",Cardiologist,40.879969,-73.907756,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
105,Sycamore Physical Therapy,Physical Therapy Clinic,40.879976,-73.907795,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
106,Theradynamics Physical & Occupational Therapy,Physical Therapy Clinic,40.880348,-73.908028,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
107,Bethesda Nutrition Center,Nutritionist,40.88338,-73.897499,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
108,Back Pain Doctor Bronx,Physical Therapy Clinic,40.885016,-73.899005,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
109,Superior Medical,Chiropractor,40.884965,-73.898872,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
110,Bronx Acupuncture,Acupuncture Clinic,40.884811,-73.89856,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
111,Advanced Endoscopy Center,Medical Center,40.876708,-73.905952,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
112,5500 Broadway Dental Clinic,Dentist,40.876725,-73.906052,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
113,Premier Family Dentistry,Dentist,40.878799,-73.907313,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
114,Montefiore Medical Group,Hospital,40.877646,-73.905956,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
115,"Pinzon, Robin Dr-Riverdale Family Practice",Family Medicine Doctor,40.879976,-73.907795,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
116,Enzo Clinical Labs-Riverdale,Medical Lab,40.879868,-73.907791,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
117,"David S. Lee, MD",Physician,40.879976,-73.907795,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
118,Ola Pediatrics PC,Health and Medicine,40.878836,-73.905913,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
119,Godwin Medical Pc,Doctor's Office,40.878783,-73.905867,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
120,AFC Urgent Care Kingsbridge,Health and Medicine,40.877991,-73.90518,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
121,My Optician Eye Care Centers,Optometrist,40.875179,-73.909366,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
122,Preferred Home Care of New York - Bronx,Home Health Care Service,40.875066,-73.909537,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
123,Hebrew Home,Nursing Home,40.874361,-73.909642,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
124,"Alberto Acosta, LMHC",Mental Health Service,40.876169,-73.906046,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
125,"Ola Pediatrics, PA",Pediatrician,40.879532,-73.908216,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
126,The Jewish Home & Hospital,Hospital,40.876243,-73.905903,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
127,Marble Hill Family Practice,Family Medicine Doctor,40.877644,-73.906043,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
128,Albert Einstein-Jack D Weiler Hospital-Division of Montefiore Medical Center,Health and Medicine,40.877591,-73.905997,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
129,"Samantha Strauss, LMHC",Mental Health Service,40.876436,-73.905737,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
130,"Gabriella Inczedy Farkas, MD, PhD",Psychiatrist,40.876455,-73.905711,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
131,Puerto Rican Family Institute,Health and Medicine,40.87641,-73.90569,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
132,"Irene Tetzlaff, NP",Nurse,40.876522,-73.905666,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
133,Sycamore Physical Therapy,Physical Therapy Clinic,40.879976,-73.907795,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
134,"David I Sahar, MD",Cardiologist,40.879969,-73.907756,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
135,Ana Olivero MD,Pediatrician,40.87872,-73.906038,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
136,Theradynamics Physical & Occupational Therapy,Physical Therapy Clinic,40.880348,-73.908028,Kingsbridge,10463,Bronx,-73.90281798724604,40.88168737120521
137,NewYork-Presbyterian Allen Hospital,Hospital,40.873242,-73.913147,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
138,NewYork-Presbyterian - Labor and Delivery,Hospital,40.873405,-73.913109,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
139,NewYork-Presbyterian Och Spine Hospital,Health and Medicine,40.8733,-73.913018,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
140,Allen Pavilion Hospital,Hospital,40.873146,-73.912705,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
141,"Abrams, Stacy, PA",Health and Medicine,40.872987,-73.912568,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
142,New York Presbyterian Hospital-Columbia Presbyterian Medical Center,Hospital,40.872932,-73.91261,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
143,Journal of Cardiovascular Disease,Health and Medicine,40.872468,-73.91176,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
144,Allen Hospital,Hospital,40.872424,-73.912813,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
145,Dichter Pharmacy,Health and Medicine,40.868016,-73.920787,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
146,Inwood Animal Clinic,Veterinarian,40.866352,-73.924446,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
147,Inwood Dental,Dentist,40.867756,-73.920384,Inwood,10034,Manhattan,-73.92121042203897,40.86768396449915
