Neighborhood,1st,2nd,3rd,4th,5th,Borough,Latitude_y,Longitude_y
Wakefield,51,0,0,0,0,Bronx,40.89470517661,-73.847200520549
Co-op City,57,56,53,47,52,Bronx,40.8742941930301,-73.829939108124
Fieldston,57,56,39,31,49,Bronx,40.8954374269038,-73.9056425959168
Riverdale,56,57,55,33,0,Bronx,40.8908344938913,-73.9125854610857
Kingsbridge,56,57,53,33,54,Bronx,40.8816873712052,-73.902817987246
Inwood,57,56,49,45,44,Manhattan,40.8676839644992,-73.921210422039
Marble Hill,57,53,37,51,41,Manhattan,40.8765507787996,-73.9106596586298
Kingsbridge Heights,42,49,56,57,0,Bronx,40.8703923914147,-73.9015226451314
Woodlawn,34,17,55,49,41,Bronx,40.8982726121381,-73.8673149681418
Norwood,56,57,55,49,52,Bronx,40.8772241559945,-73.8793907395681
Williamsbridge,57,0,0,0,0,Bronx,40.8810388781921,-73.8574464297421
Baychester,48,37,0,0,0,Bronx,40.8668581072527,-73.8357975980812
Pelham Parkway,57,55,46,54,51,Bronx,40.8574134980887,-73.85475564018
Allerton,47,57,39,37,42,Bronx,40.8657878780298,-73.8593186322165
City Island,55,53,0,0,0,Bronx,40.8472467049181,-73.7864884526741
Belmont,56,57,36,55,48,Bronx,40.857277100739,-73.888451961348
Morris Heights,56,36,53,52,57,Bronx,40.8478979260627,-73.9196715911957
Mount Eden,55,57,56,52,48,Bronx,40.8438261767165,-73.9165555196442
University Heights,57,0,0,0,0,Bronx,40.8557270771966,-73.9104159619131
Fordham,57,55,56,42,51,Bronx,40.8609967963865,-73.8964265598162
East Tremont,57,56,51,40,52,Bronx,40.8426961578605,-73.8873561753234
West Farms,47,55,30,56,40,Bronx,40.8394750567265,-73.8777447491055
Concourse,49,57,56,53,52,Bronx,40.8342838073385,-73.9155894177344
Mott Haven,56,57,30,39,42,Bronx,40.8062387493518,-73.9160998748758
Melrose,57,36,55,56,50,Bronx,40.8197543705949,-73.9094216075744
Longwood,56,40,57,48,49,Bronx,40.8150990454582,-73.8957882009446
Soundview,57,55,49,53,0,Bronx,40.821012197914,-73.8657460955492
Clason Point,57,42,56,25,0,Bronx,40.8065511200359,-73.8541441618927
Beechhurst,57,33,46,56,16,Queens,40.7927814036005,-73.8043645172099
Unionport,56,55,51,48,15,Bronx,40.8297742978716,-73.8505352445194
Parkchester,57,56,36,48,51,Bronx,40.8379378222673,-73.8560031053578
Schuylerville,57,53,55,51,47,Bronx,40.8265795168692,-73.8262027599407
Van Nest,57,54,56,55,48,Bronx,40.8436084712472,-73.8662991807561
Bronxdale,57,42,51,52,41,Bronx,40.8527229763302,-73.8617257755512
Westchester Square,55,39,0,0,0,Bronx,40.8406194964327,-73.8421940760444
Mount Hope,36,57,49,56,34,Bronx,40.8488416072466,-73.9082993088199
Spuyten Duyvil,57,0,0,0,0,Bronx,40.8813949772709,-73.9171904821039
Pelham Gardens,55,53,56,32,57,Bronx,40.86296562478,-73.8416119483122
Throgs Neck,55,56,31,45,51,Bronx,40.8151092580401,-73.8163500215844
Castle Hill,54,23,57,35,37,Bronx,40.8190143769883,-73.8480272958274
Olinville,55,56,52,49,48,Bronx,40.8713707819237,-73.8633236165278
Edenwald,37,42,43,0,0,Bronx,40.8845613030373,-73.8480827187717
Bay Ridge,57,55,47,56,54,Brooklyn,40.6258010650107,-74.0306206935381
Bath Beach,57,56,54,53,45,Brooklyn,40.5995187028224,-73.9987522144352
Bensonhurst,53,55,57,51,50,Brooklyn,40.6110089020204,-73.9951799838073
Sunset Park,51,57,37,56,40,Brooklyn,40.6451029492543,-74.0103161852778
Greenpoint,57,56,54,55,50,Brooklyn,40.7302009848647,-73.9542409312739
Gravesend,57,54,50,45,53,Brooklyn,40.5952600130659,-73.9734708770845
Brighton Beach,57,56,55,51,42,Brooklyn,40.576825065666,-73.9650944878534
Manhattan Beach,56,54,55,21,57,Brooklyn,40.5779135030866,-73.9435372289189
Sheepshead Bay,56,55,57,0,0,Brooklyn,40.5868901267838,-73.9431864048298
Manhattan Terrace,57,56,54,55,48,Brooklyn,40.614432513351,-73.9574384055994
Midwood,52,38,48,56,44,Brooklyn,40.6255958986984,-73.9575952348984
Flatbush,51,56,57,37,53,Brooklyn,40.6363258902668,-73.958401065339
Crown Heights,51,55,49,48,57,Brooklyn,40.6708291769529,-73.9432911907358
East Flatbush,57,52,56,34,42,Brooklyn,40.6417177666896,-73.9361025618584
Kensington,56,57,48,51,42,Brooklyn,40.6423819580035,-73.9804211055948
Park Slope,57,55,54,51,44,Brooklyn,40.672320522682,-73.9770503018392
Windsor Terrace,56,19,57,48,53,Brooklyn,40.656945835751,-73.9800734043017
Prospect Heights,57,46,50,55,47,Brooklyn,40.6768222622547,-73.9648592426269
Brownsville,49,56,30,43,31,Brooklyn,40.6639499433975,-73.9102353617661
South Side,57,56,53,51,42,Brooklyn,40.7108614726506,-73.9580009515333
Williamsburg,51,31,46,36,52,Brooklyn,40.7071443934425,-73.9581152922093
Bushwick,57,54,56,50,51,Brooklyn,40.698116110179,-73.9252579748704
Brooklyn Heights,57,55,56,50,48,Brooklyn,40.6958637227241,-73.9937822549642
Boerum Hill,57,55,50,54,56,Brooklyn,40.6856829120915,-73.983748241158
Carroll Gardens,57,56,50,47,31,Brooklyn,40.6805402310765,-73.9946537282801
Cobble Hill,53,51,57,38,31,Brooklyn,40.6879197224856,-73.9985613921846
Gowanus,53,50,57,44,56,Brooklyn,40.6739311431872,-73.9944408714534
Red Hook,56,52,55,51,49,Brooklyn,40.6762532302509,-74.0127589747356
Fort Greene,57,55,37,54,44,Brooklyn,40.6885272601898,-73.9729057436909
Clinton Hill,49,55,44,56,51,Brooklyn,40.6932294218815,-73.9678430621637
Cypress Hills,40,0,0,0,0,Brooklyn,40.6823910114421,-73.876615964573
City Line,51,54,33,52,18,Brooklyn,40.6785699572748,-73.8679759808133
East New York,55,56,50,52,48,Brooklyn,40.6699257008471,-73.8806986391737
New Lots,55,51,22,33,53,Brooklyn,40.6627442796966,-73.8851177637929
Starrett City,56,52,57,55,43,Brooklyn,40.6475890523087,-73.8793697004588
Georgetown,54,52,55,56,36,Brooklyn,40.6238452447842,-73.9160748395132
Canarsie,57,0,0,0,0,Brooklyn,40.6355643279743,-73.9020926977897
