Venue,Category,Latitude,Longitude,Neighborhood,ZIP
Individual Empire,Music Venue,40.875891,-73.831973,Coop City,10475
Jason's Bar,Night Club,40.876939,-73.833237,Coop City,10475
Bowlerland,Bowling Alley,40.886062,-73.823054,Coop City,10475
Planet Venus Gentlemen's Club,Night Club,40.886777,-73.826802,Coop City,10466
Jr's Cabaret,Night Club,40.889006,-73.828371,,10466
Uptown Coffeehouse,Music Venue,40.892426,-73.904977,Fieldston,10471
Van Cortlandt House Museum,History Museum,40.893462,-73.906681,Fieldston,10471
Bugatti Music Group,Music Venue,40.88653,-73.911326,Kingsbridge,10463
T and Y Wine and Spirits,Night Club,40.884554,-73.902185,Kings Bridge,10463
Unity Cafe,Arts and Entertainment,40.880796,-73.907432,Kings Bridge,10463
Coyote Statue,Public Art,40.885062,-73.899314,Kings Bridge,10463
Liffy Bar,Arts and Entertainment,40.881115,-73.903502,Kings Bridge,10463
231st Bingo,Bingo Center,40.87899,-73.904167,Kings Bridge,10463
Sonia La Psiquica,Psychics and Astrologers,40.878381,-73.906771,Kings Bridge,10463
Bronx Psychic & Tarot Card Reader,Psychics and Astrologers,40.875138,-73.909566,Marble Hill,10463
Sonia La Psiquica,Psychics and Astrologers,40.878381,-73.906771,Kings Bridge,10463
The Avenue,Arts and Entertainment,40.900484,-73.867469,Lincoln,10470
Museum of Bronx History,History Museum,40.87817,-73.879743,Norwood,10467
Bronx County Historical Society,History Museum,40.87817,-73.879743,Norwood,10467
Local Celebrity Theatre,Music Venue,40.865558,-73.840926,Baychester,10469
City Island Nautical Museum,Museum,40.847334,-73.78443,City Island,10464
Starving Artist Studio & Gallery Dbe,Concert Hall,40.845419,-73.78598,City Island,10464
Focal Point Gallery,Art Gallery,40.847651,-73.786847,City Island,10464
Mary Colby Studio & Gallery,Art Gallery,40.84638,-73.78584,City Island,10464
Scavello's City Island,Movie Theater,40.849307,-73.787562,City Island,10464
Mastro Vending,Amusement Park,40.850122,-73.787372,City Island,10464
Breeze Team Entertainment,Music Venue,40.870811,-73.884288,Belmont,10458
TequilaSong Webster,Arts and Entertainment,40.866529,-73.884273,Belmont,10458
Lehman College Baseball Field,Stadium,40.87185,-73.890018,Belmont,10468
Caminito Sports Bar,Pool Hall,40.866389,-73.886006,Belmont,10458
Bronx Opera Company,Opera House,40.871503,-73.890881,Fordham,10468
Hall of Fame for Great Americans,History Museum,40.858678,-73.914305,Inwood,10453
Uva Wine & Liquors,Arts and Entertainment,40.856804,-73.905436,University Heights,10453
Hall of Fame for Great Americans,Museum,40.856418,-73.907786,Morris Heights,10453
Fred Dolan Art Academy,Art Gallery,40.851464,-73.911276,,10453
"Rossie Minnie Alvarado, PT",Stadium,40.846024,-73.921255,Morris Heights,10452
Mensajera De La Paz,Psychics and Astrologers,40.850557,-73.914962,Morris Heights,10453
Martha Graham Center Of Contemporary Dance,Music Venue,40.843488,-73.918765,Highbridge,10452
Paradise Theater,Concert Hall,40.860547,-73.89866,Fordham,10468
Yamulee Dance Company,Salsa Club,40.861259,-73.898293,Fordham,10468
Indian Spiritual Center,Psychics and Astrologers,40.862509,-73.895975,Fordham,10458
Utopia Paradis Theatre,Music Venue,40.86044,-73.898656,Fordham,10468
Indian Psychic Readings,Psychics and Astrologers,40.86215,-73.89316,Belmont,10458
Psychic reader,Psychics and Astrologers,40.861424,-73.891995,Belmont,10458
Shades of Color Nyc,Night Club,40.865113,-73.895547,Fordham,10468
Los Reyes,Art Gallery,40.841807,-73.886101,,10460
Spiritual Gangster,Psychics and Astrologers,40.844454,-73.881954,Bronx Park South,10460
Luxury Box,Strip Club,40.838998,-73.877858,West Farms,10460
Bronx River Art Center,Art Gallery,40.841684,-73.878395,West Farms,10460
"Apryl Cadabra: NYC Clowns, Face Painting and Comedy Magic",Arts and Entertainment,40.83541,-73.92496,Concourse,10452
Rayma Gallery,Art Gallery,40.834147,-73.9248,Concourse,10452
Old Bronx Courthouse,Art Gallery,40.822872,-73.910025,Melrose,10451
Union Rincoena Social Club,Arts and Entertainment,40.822279,-73.907903,Melrose,10456
SummerStage - St Mary's Park,Performing Arts Venue,40.810583,-73.915292,Mott Haven,10455
Rumba,Night Club,40.804531,-73.913446,Mill Brook Houses,10454
The Living Room II,Night Club,40.803878,-73.919762,Mill Brook Houses,10454
Lacquer Room Nail Spa/ Art Gallery,Art Gallery,40.80367,-73.919491,Mill Brook Houses,10454
Pier 132,Arts and Entertainment,40.800368,-73.913683,Mill Brook Houses,10454
The Draper Space: Art Gallery,Art Gallery,40.801534,-73.910404,Port Morris,10454
