Venue,Category,Latitude,Longitude,Neighborhood,ZIP
Public School 87,Elementary School,40.89531,-73.845988,Wakefield,10466
Little Stars Preschool,Preschool,40.891571,-73.844276,Edenwald,10466
Redeemer Lutheran Church,Church,40.897004,-73.85157,Wakefield,10466
Philadelphia Seventh Day Adventist Church,Church,40.891661,-73.851244,Williamsbridge,10466
Mount Saint Michael Academy,Private School,40.897394,-73.842691,Wakefield,10466
Classic Home Care,Public and Social Service,40.896288,-73.845761,Wakefield,10466
Edwin Allen High School Alumni Association,Organization,40.895621,-73.844379,,10466
The Gathering International Ministries,Church,40.895186,-73.850803,Wakefield,10466
House Of Bread Ministry,Church,40.89573,-73.850647,Wakefield,10466
St Francis of Assisi School,Elementary School,40.89712,-73.844959,Wakefield,10466
Ubnlinks Foundation,Organization,40.891985,-73.844992,Edenwald,10466
Tremont Baptist Church,Church,40.897695,-73.845728,Wakefield,10466
Refuge Temple of Jesus Christ,Church,40.896825,-73.843809,Wakefield,10466
Grace International Ministries,Spiritual Center,40.897206,-73.843691,Wakefield,10466
"Amazing Grace Pentecostal Church Worldwide - New York, USA",Church,40.891376,-73.849744,,10466
Grace of God Ministries Church,Church,40.89101,-73.849249,Edenwald,10466
Senator Ruth Hassell-Thompson,Community and Government,40.891059,-73.84947,Edenwald,10466
Leake And Watts Services,Public and Social Service,40.890364,-73.847079,Edenwald,10466
Mt St Michael High School,Primary and Secondary School,40.897394,-73.842691,Wakefield,10466
General Conference Of Seventh-Day Adventists,Spiritual Center,40.891659,-73.851331,Williamsbridge,10466
Marist Brothers Youth Office,Church,40.89719,-73.842245,Wakefield,10466
Baychester Library,Library,40.870615,-73.829112,Coop City,10475
United States Postal Service,Post Office,40.87753,-73.829185,Coop City,10475
Ms 181,Education,40.874935,-73.831325,Coop City,10475
Co-op City building 19,Residential Building,40.872911,-73.830202,Coop City,10475
Ms 180 Dr Daniel Hale Williams,Education,40.874375,-73.832093,Coop City,10475
Young Israel Of Co-Op City,Synagogue,40.876324,-73.829843,Coop City,10475
Dreiser Senior Center,Senior Citizen Service,40.876443,-73.829409,Coop City,10475
P.S. 176X,High School,40.87432,-73.833133,Baychester,10475
Circle of Christ Church,Church,40.876324,-73.829843,Coop City,10475
St Joseph's Episcopal Church,Church,40.876381,-73.829713,Coop City,10475
Ps 178,Education,40.875154,-73.833091,,10475
Harry S Truman High School,High School,40.874111,-73.831865,Coop City,10475
Ps 178 Dr Selman Waksman,Elementary School,40.875212,-73.833174,,10475
Ps 153 Helen Keller,Elementary School,40.872835,-73.833176,Baychester,10475
Harvest Restoration Ministries,Church,40.874279,-73.825303,Coop City,10475
Co-op City,Residential Building,40.873326,-73.826626,Coop City,10475
Ps 176 At Truman High School Anx,Primary and Secondary School,40.873851,-73.831462,Coop City,10475
Faith at Work Christian Church,Church,40.875477,-73.828903,Coop City,10475
Bronx High School-Performance,High School,40.874003,-73.831861,Coop City,10475
Home Field Advantage Group,Property Management Office,40.875489,-73.828674,Coop City,10475
Bronx Health Sciences High School,High School,40.874054,-73.831994,Coop City,10475
United Clergy Task Force Development,Spiritual Center,40.876459,-73.828797,Coop City,10475
Church of Gods Children,Church,40.876697,-73.829666,Coop City,10475
Newsong Church,Church,40.871719,-73.830334,Coop City,10475
Intermediate School 181,Primary and Secondary School,40.875265,-73.83322,,10475
Public School 178,Elementary School,40.873106,-73.833142,Baychester,10475
Edwin Gould Services For Children,Public and Social Service,40.871613,-73.830243,Coop City,10475
Open the Door to Literacy,Education,40.871878,-73.828326,Coop City,10475
Selman Waksman Special Educ,Primary and Secondary School,40.875263,-73.833308,,10475
Helen Keller School,Education,40.87305,-73.833184,Baychester,10475
Bronx Clergy Task Force,Spiritual Center,40.876897,-73.82855,Coop City,10475
Public School 153,Primary and Secondary School,40.87283,-73.833351,Baychester,10475
Jewish Community Council,Public and Social Service,40.877259,-73.829219,Coop City,10475
AARP,Community and Government,40.877259,-73.829219,Coop City,10475
Elements Church,Spiritual Center,40.873889,-73.825771,Coop City,10475
Benedetto Michael Asmblymn,Organization,40.87753,-73.829185,Coop City,10475
Spanish American Community,Organization,40.877585,-73.829144,Coop City,10475
Allen Shaw Foundation Bronx,Adult Education,40.877297,-73.831936,Coop City,10475
Pentecostal Tabernacle,Church,40.874274,-73.825478,Coop City,10475
Word Church of God,Church,40.87336,-73.825314,Coop City,10475
Jewish Association For Services For The Aged,Organization,40.877906,-73.829243,Coop City,10475
Newsong Church,Church,40.877906,-73.829243,Coop City,10475
African America Associates of Co-op City,Public and Social Service,40.877961,-73.829201,Coop City,10475
State of New York,Community and Government,40.877961,-73.829201,Coop City,10475
Co-Op City Little League,Youth Organization,40.877961,-73.829201,Coop City,10475
NCNW Co-Op City Section,Government Department / Agency,40.877961,-73.829201,Coop City,10475
Representative Joseph Crowley,Community and Government,40.878014,-73.829247,Coop City,10475
Greenlight Guyana Educational,Charity,40.878148,-73.830346,Coop City,10475
Coop City Police Department,Police Station,40.870443,-73.8295,Coop City,10475
Community Protestant Church,Church,40.870757,-73.827804,Coop City,10475
Iglecia De Dios Pentecostal Mi Ebebezer,Church,40.887954,-73.831487,North Baychester,10466
Olivet Gospel Church,Church,40.889419,-73.830912,North Baychester,10466
Nativity School,Middle School,40.888871,-73.831564,North Baychester,10466
Nativity Of Our Blessed Lady,Education,40.888923,-73.831609,North Baychester,10466
Nativity Church,Church,40.888967,-73.832005,North Baychester,10466
DaVita,Organization,40.884443,-73.831404,North Baychester,10475
New York City Department of Sani,Community and Government,40.888638,-73.827964,,10466
Wic Program Sound Shore Medical,Public and Social Service,40.888825,-73.829109,,10466
United States Government Office Locations,Government Department / Agency,40.888915,-73.829813,North Baychester,10466
Lighthouse Ministries International,Church,40.88935,-73.829741,North Baychester,10466
Bethel Hamliri,Church,40.889405,-73.829699,North Baychester,10466
Nativity of Our Blessed Lady Church,Church,40.889459,-73.831804,North Baychester,10466
Spectra Environmental Group,Environmental Organization,40.89081,-73.825457,,10550
Grace Baptist Church,Church,40.890463,-73.831402,North Baychester,10466
Astor Child Guidance Center,Education,40.890892,-73.830716,,10466
Rohlf's Stained & Leaded Glass,Spiritual Center,40.891576,-73.827193,Edenwald,10550
Yeshiva of Telshe Alumni,College and University,40.896653,-73.9107,Riverdale,10471
Riverdale Presbyterian Church,Church,40.895897,-73.908612,Riverdale,10471
Riverdale Presbyterian Church Nursery School,Education,40.896003,-73.908704,Riverdale,10471
Conservative Synagogue Adath Israel Of Riverdale,Synagogue,40.897821,-73.907414,Fieldston,10471
Chabad Lubavitch of Riverdale,Synagogue,40.8934,-73.909044,Riverdale,10471
Christ Church Riverdale,Church,40.898871,-73.906533,Fieldston,10471
Young Israel of Riverdale,Church,40.891382,-73.907654,Kingsbridge,10471
"Weinberg, Rabbi Simcha - the Foundation Stone",Community and Government,40.896433,-73.906749,Fieldston,10471
Yeshivas Ohavei Torah of Riverdale,High School,40.897338,-73.907264,Fieldston,10471
Windsor North & South Apts,Property Management Office,40.895242,-73.908851,Riverdale,10471
"Lorna Baker, Clinical Social Worker Therapist, LCSW",Addiction Treatment Center,40.895348,-73.908942,Riverdale,10471
Herbert G Birch Early Childhood Center,Primary and Secondary School,40.897775,-73.907106,Fieldston,10471
Conservative Synagogue of Riverdale,Synagogue,40.897768,-73.907368,Fieldston,10471
Center for Judicial Accountability,Organization,40.896538,-73.908899,Riverdale,10471
International Film Institute of New York,Education,40.896538,-73.908899,Riverdale,10471
Association For Psychoanalytic Medicine MD,Organization,40.892759,-73.906698,Fieldston,10471
Windsor North & South Apts,Property Management Office,40.897848,-73.908423,Fildston,10471
Chimp Haven,Organization,40.898259,-73.909227,Fildston,10471
Henry Ittleson Center For Child Research & Day Treatment Center,Organization,40.899399,-73.904932,Fieldston,10471
Briar Hill Apts,Real Estate Agency,40.892515,-73.909799,Kingsbridge,10471
Riverdale Temple,Synagogue,40.891571,-73.91283,Riverdale,10471
The Riverdale Minyan,Synagogue,40.891729,-73.912968,Riverdale,10471
Woodlands,Real Estate Service,40.890463,-73.911781,Kingsbridge,10471
The Blackstone,Residential Building,40.88888,-73.91032,Kingsbridge,10463
Riverdale Jewish Center Hebrew School,Synagogue,40.88811,-73.912875,Kingsbridge,10463
The David A. Stein Riverdale/Kingsbridge Academy,College and University,40.888069,-73.91445,Spuyten Duyvil,10463
Hudson Manor Terrace,Residential Building,40.889617,-73.915166,,10463
Briar Oaks,Commercial Real Estate Developer,40.891398,-73.9091,Kingsbridge,10471
Hebrew Inst At Riverdale,Synagogue,40.887899,-73.910633,Kingsbridge,10463
Yeshivat Chovevei Torah,Church,40.887902,-73.910546,Kingsbridge,10463
Chabad Lubavitch of Riverdale,Synagogue,40.8934,-73.909044,Riverdale,10471
Young Israel of Riverdale,Church,40.891382,-73.907654,Kingsbridge,10471
The Algiers,Residential Building,40.887359,-73.910613,Kingsbridge,10463
P.S.24 Annex,Primary and Secondary School,40.886562,-73.914218,Spuyten Duyvil,10463
Riverdale Kingsbridge Academy,Primary and Secondary School,40.887966,-73.914271,,10463
Parkway House,Property Management Office,40.886408,-73.911847,Kingsbridge,10463
Ps 24 Spuyten Duyvil School,Elementary School,40.886982,-73.914672,Spuyten Duyvil,10463
3660 Oxford,Residential Building,40.887846,-73.908529,Kingsbridge,10463
James Baldwin Outdoor Learning,Education,40.89159,-73.910916,Kingsbridge,10471
