Venue,Category,Latitude,Longitude,Neighborhood,ZIP
Wakefield Eye Care,Optometrist,40.898682,-73.849352,Wakefield,10466
Advanced Dental Group,Dentist,40.875278,-73.828492,Co-op City,10475
Creating Smiles,Dentist,40.871558,-73.830285,Co-op City,10475
NYC Health & Hospitals,Medical Center,40.873701,-73.826771,Co-op City,10475
Montefiore Medical Group,Physician,40.877116,-73.82847,Co-op City,10475
Statcare Urgent & Walk-In Medical Care (Bronx Bartow Mall),Health and Medicine,40.870096,-73.828306,Co-op City,10475
Spark Program,Mental Health Clinic,40.874113,-73.831777,Co-op City,10475
Benjamin Vlad Katayev,Dentist,40.875489,-73.828674,Co-op City,10475
Dreiser Health Plaza,Health and Medicine,40.876223,-73.829576,Co-op City,10475
Dreiser Physical Therapy & Rehabilitation PC,Physical Therapy Clinic,40.876273,-73.82971,Co-op City,10475
City Family Dental,Dentist,40.871613,-73.830243,Co-op City,10475
Co-Op City Chiropractic,Chiropractor,40.871481,-73.830431,Co-op City,10475
New York Foundling Hospital,Hospital,40.874274,-73.825478,Co-op City,10475
Rimisac Family Health Pc,Family Medicine Doctor,40.874279,-73.825303,Co-op City,10475
"Somayaji, Suhas - Suhas Somayaji",Physical Therapy Clinic,40.877605,-73.828356,Co-op City,10475
Boston Post Rd Dialysis,Health and Medicine,40.884443,-73.831404,Co-op City,10475
Darcy Chiropractic,Chiropractor,40.884441,-73.831492,Co-op City,10475
Co-Op City Dialysis Center,Healthcare Clinic,40.884441,-73.831492,Co-op City,10475
Rapid MD Urgent Care,Health and Medicine,40.884357,-73.831595,Co-op City,10475
Riverdale Lactation Center,Hospital,40.892949,-73.903551,Fieldston,10471
Coagulation Sciences,Health and Medicine,40.895337,-73.911439,Riverdale,10471
"Advanced Dental Care of Riverdale: Dr. Daniel Faiwiszewski, DMD",Dentist,40.890045,-73.913298,Riverdale,10463
Dr Dan,Doctor's Office,40.890091,-73.913607,Riverdale,10463
Riverdale Pediatric Dentistry,Dentist,40.889834,-73.911056,Kingsbridge,10463
Titanium Dental,Dentist,40.889834,-73.911056,Kingsbridge,10463
Atria Riverdale,Nursing Home,40.888177,-73.910337,Kingsbridge,10463
Molie & Jack Zicklin Hospice,Hospice,40.88818,-73.910249,Kingsbridge,10463
"Dr Bar-David, Dr Friedman, Podiatrist",Doctor's Office,40.887509,-73.9111,Kingsbridge,10463
Riverdale Dental P.C.,Dentist,40.889779,-73.911098,Kingsbridge,10463
Advanced Dental of Riverside,Dentist,40.8892,-73.912566,Kingsbridge,10463
"Jeffrey B Schoengold, DDS PC",Dentist,40.889144,-73.912607,Kingsbridge,10463
Riverdale Wellness Group,Chiropractor,40.888474,-73.911399,Kingsbridge,10463
Center For Attention Deficit Disorders,Psychologist,40.888352,-73.909862,Kingsbridge,10463
Rehabilitation Associates of Riverdale Medicine,Physical Therapy Clinic,40.888352,-73.909862,Kingsbridge,10463
Goodman Adam DMD,Dentist,40.886812,-73.912914,Kingsbridge,10463
"Susan Siegel, DDS",Dentist,40.886539,-73.913035,Kingsbridge,10463
Broadway Animal Hospital of Riverdale,Veterinarian,40.880759,-73.902656,Kingsbridge,10463
PM Pediatric Urgent Care,Health and Medicine,40.882898,-73.901466,Kingsbridge,10463
Riverdale Dialysis,Medical Center,40.879877,-73.903324,Kingsbridge,10463
Riverdale Animal Hospital,Veterinarian,40.884281,-73.902307,Kingsbridge,10463
Riverdale Eye Care,Health and Medicine,40.87945,-73.905191,Kingsbridge,10463
"Ofer Cohen, DDS - Cohen's Gentle Dental",Dentist,40.878882,-73.904163,Kingsbridge,10463
"Kumrah, Praveen, DPM",Podiatrist,40.879969,-73.905999,Kingsbridge,10463
Borgella Reginald DDS,Dentist,40.879854,-73.906257,Kingsbridge,10463
Luiza Guseynov M D,Health and Medicine,40.880019,-73.906132,Kingsbridge,10463
Cohen's Fashion Optical,Ophthalmologist,40.878655,-73.904592,Kingsbridge,10463
Kingsbridge Pharmacy,Health and Medicine,40.878912,-73.905083,Kingsbridge,10463
Broadway Eye Care,Ophthalmologist,40.878802,-73.905167,Kingsbridge,10463
CityMD Riverdale,Health and Medicine,40.884499,-73.900169,Kingsbridge,10463
Citadel Rehabilitation and Nursing Center at Kingsbridge,Nursing Home,40.880281,-73.898215,Kingsbridge,10463
Medical & Health Care Offices,Doctor's Office,40.883412,-73.898332,Kingsbridge,10463
Godwin Medical Pc,Doctor's Office,40.878783,-73.905867,Kingsbridge,10463
Ola Pediatrics PC,Health and Medicine,40.878836,-73.905913,Kingsbridge,10463
NY Physical Therapy & Orthopedic Medical Pavillion,Physical Therapy Clinic,40.885142,-73.900368,Kingsbridge,10463
"David S. Lee, MD",Physician,40.879976,-73.907795,Kingsbridge,10463
Enzo Clinical Labs-Riverdale,Medical Lab,40.879868,-73.907791,Kingsbridge,10463
Physical Medicine & Rehabilitation of Ny PC,Physician,40.884965,-73.898872,Kingsbridge,10463
AFC Urgent Care Kingsbridge,Health and Medicine,40.877991,-73.90518,Kingsbridge,10463
"Pinzon, Robin Dr-Riverdale Family Practice",Family Medicine Doctor,40.879976,-73.907795,Kingsbridge,10463
Premier Family Dentistry,Dentist,40.878799,-73.907313,Kingsbridge,10463
Manhattanville Health Care Center,Nursing Home,40.881143,-73.908627,Kingsbridge,10463
Luckow Scott DVM,Veterinarian,40.880745,-73.903181,Kingsbridge,10463
All Medical Care Management,Rehabilitation Center,40.882686,-73.903342,Kingsbridge,10463
Neighborhood Medical Healthcare PC,Health and Medicine,40.880097,-73.903157,Kingsbridge,10463
Active Care Chiropractic & Natural Wellness Center,Chiropractor,40.880127,-73.90202,Kingsbridge,10463
Advocates For Services For The Blind Multi Handicapped,Healthcare Clinic,40.882721,-73.906146,Kingsbridge,10463
Holistic Home Care Associates,Health and Medicine,40.884462,-73.901569,Kingsbridge,10463
Internal Medicine Geriatrics,Internal Medicine Doctor,40.880021,-73.906158,Kingsbridge,10463
BJ's Optical,Optometrist,40.883909,-73.900015,Kingsbridge,10463
Cambridge Podiatry Center - Donald Spector DPM,Podiatrist,40.880162,-73.906882,Kingsbridge,10463
Bronx Health and Pain Management,Physician,40.883192,-73.898499,Kingsbridge,10463
Mi Farmacia,Health and Medicine,40.8782,-73.901334,Kingsbridge,10463
Shiel Medical Labs,Medical Lab,40.884667,-73.899956,Kingsbridge,10463
Kingsdale Acupuncture,Acupuncture Clinic,40.883302,-73.898416,Kingsbridge,10463
NY Weight Loss & Wellness Center,Nutritionist,40.883412,-73.898332,Kingsbridge,10463
Ana Olivero MD,Pediatrician,40.87872,-73.906038,Kingsbridge,10463
Electrodiagnostics & Physical Medicine Pc,Physical Therapy Clinic,40.885142,-73.900368,Kingsbridge,10463
Riverdale Family Practice PC,Family Medicine Doctor,40.881535,-73.908072,Kingsbridge,10463
"David I Sahar, MD",Cardiologist,40.879969,-73.907756,Kingsbridge,10463
Sycamore Physical Therapy,Physical Therapy Clinic,40.879976,-73.907795,Kingsbridge,10463
Theradynamics Physical & Occupational Therapy,Physical Therapy Clinic,40.880348,-73.908028,Kingsbridge,10463
Bethesda Nutrition Center,Nutritionist,40.88338,-73.897499,Kingsbridge,10463
Back Pain Doctor Bronx,Physical Therapy Clinic,40.885016,-73.899005,Kingsbridge,10463
Superior Medical,Chiropractor,40.884965,-73.898872,Kingsbridge,10463
Bronx Acupuncture,Acupuncture Clinic,40.884811,-73.89856,Kingsbridge,10463
NewYork-Presbyterian Allen Hospital,Hospital,40.873242,-73.913147,Inwood,10034
Advanced Endoscopy Center,Medical Center,40.876708,-73.905952,Kingsbridge,10463
5500 Broadway Dental Clinic,Dentist,40.876725,-73.906052,Kingsbridge,10463
Premier Family Dentistry,Dentist,40.878799,-73.907313,Kingsbridge,10463
Montefiore Medical Group,Hospital,40.877646,-73.905956,Kingsbridge,10463
NewYork-Presbyterian - Labor and Delivery,Hospital,40.873405,-73.913109,Inwood,10034
NewYork-Presbyterian Och Spine Hospital,Health and Medicine,40.8733,-73.913018,Inwood,10034
Riverdale Eye Associates,Optometrist,40.878709,-73.914842,Marble Hill,10463
Riverdale Pediatrics PC,Pediatrician,40.878712,-73.914754,Marble Hill,10463
"Pinzon, Robin Dr-Riverdale Family Practice",Family Medicine Doctor,40.879976,-73.907795,Kingsbridge,10463
Enzo Clinical Labs-Riverdale,Medical Lab,40.879868,-73.907791,Kingsbridge,10463
"David S. Lee, MD",Physician,40.879976,-73.907795,Kingsbridge,10463
Ola Pediatrics PC,Health and Medicine,40.878836,-73.905913,Kingsbridge,10463
Godwin Medical Pc,Doctor's Office,40.878783,-73.905867,Kingsbridge,10463
AFC Urgent Care Kingsbridge,Health and Medicine,40.877991,-73.90518,Kingsbridge,10463
"Comprehensive Dental Care, Dr Madeline Ginzburg",Dentist,40.878473,-73.915621,Marble Hill,10463
"Nydia Elena Providence, MD",Doctor's Office,40.878769,-73.914625,Marble Hill,10463
Riverdale Periodontics Dr.Sandra Molinas,Dentist,40.878712,-73.914754,Marble Hill,10463
Preferred Home Care,Home Health Care Service,40.875119,-73.909583,Marble Hill,10463
My Optician Eye Care Centers,Optometrist,40.875179,-73.909366,Kingsbridge,10463
Preferred Home Care of New York - Bronx,Home Health Care Service,40.875066,-73.909537,Kingsbridge,10463
Hebrew Home,Nursing Home,40.874361,-73.909642,Kingsbridge,10463
"Alberto Acosta, LMHC",Mental Health Service,40.876169,-73.906046,Kingsbridge,10463
"Ola Pediatrics, PA",Pediatrician,40.879532,-73.908216,Kingsbridge,10463
The Jewish Home & Hospital,Hospital,40.876243,-73.905903,Kingsbridge,10463
Marble Hill Family Practice,Family Medicine Doctor,40.877644,-73.906043,Kingsbridge,10463
Albert Einstein-Jack D Weiler Hospital-Division of Montefiore Medical Center,Health and Medicine,40.877591,-73.905997,Kingsbridge,10463
"Samantha Strauss, LMHC",Mental Health Service,40.876436,-73.905737,Kingsbridge,10463
Hudson Physical Therapy,Physical Therapy Clinic,40.87861,-73.914791,Marble Hill,10463
"Gabriella Inczedy Farkas, MD, PhD",Psychiatrist,40.876455,-73.905711,Kingsbridge,10463
Allen Pavilion Hospital,Hospital,40.873146,-73.912705,Inwood,10034
Puerto Rican Family Institute,Health and Medicine,40.87641,-73.90569,Kingsbridge,10463
Montefiore Medical Center,Plastic Surgeon,40.878712,-73.914754,Marble Hill,10463
"Sandra Molinas, DDS",Dentist,40.878712,-73.914754,Marble Hill,10463
Ear Nose & Throat Associates Of New York PC,"Ear, Nose and Throat Doctor",40.878712,-73.914754,Marble Hill,10463
Reddy Sarina DDS,Dentist,40.878712,-73.914754,Marble Hill,10463
"Irene Tetzlaff, NP",Nurse,40.876522,-73.905666,Kingsbridge,10463
"Jakob C Melamed, MD",General Surgeon,40.878712,-73.914754,Marble Hill,10463
Su James Y DDS,Dentist,40.878709,-73.914842,Marble Hill,10463
"Abrams, Stacy, PA",Health and Medicine,40.872987,-73.912568,Inwood,10034
New York Presbyterian Hospital-Columbia Presbyterian Medical Center,Hospital,40.872932,-73.91261,Inwood,10034
Sycamore Physical Therapy,Physical Therapy Clinic,40.879976,-73.907795,Kingsbridge,10463
"David I Sahar, MD",Cardiologist,40.879969,-73.907756,Kingsbridge,10463
Ana Olivero MD,Pediatrician,40.87872,-73.906038,Kingsbridge,10463
Journal of Cardiovascular Disease,Health and Medicine,40.872468,-73.91176,Inwood,10034
Elder Serve and Health,Home Health Care Service,40.87324,-73.90706,Kingsbridge Heights,10463
Theradynamics Physical & Occupational Therapy,Physical Therapy Clinic,40.880348,-73.908028,Kingsbridge,10463
Allen Hospital,Hospital,40.872424,-73.912813,Inwood,10034
Podiatry Associates of Riverdale,Podiatrist,40.878353,-73.916055,Marble Hill,10463
Haylo 3D Imaging,Medical Lab,40.899839,-73.867357,Woodlawn,10470
Station 27,Emergency Room,40.896608,-73.868947,Woodlawn,10470
Obstetrics & Gynecology and Womens Health Center For Montefiore,Doctor's Office,40.899275,-73.872419,Woodlawn,10470
Our Lady of Mercy,Hospital,40.896444,-73.864867,Woodlawn,10470
Children & Women Physicians of Wstchr,Pediatrician,40.899275,-73.872419,Woodlawn,10470
The Oval Center at Montefiore,Doctor's Office,40.876663,-73.879512,Norwood,10467
Your Bronx Dentist,Dentist,40.87802,-73.879256,Norwood,10467
Montifiore Spine Center,Doctor's Office,40.878647,-73.880067,Norwood,10467
Child Advocacy Center,Mental Health Service,40.87873,-73.881034,Norwood,10467
Montefiore Women's Center,Health and Medicine,40.879463,-73.879879,Norwood,10467
Montefiore Benefits Office,Medical Center,40.879263,-73.881316,Norwood,10467
Montefiore Executive offices,Medical Center,40.87958,-73.879533,Norwood,10467
Montefiore Department of Dentistry,Dentist,40.880754,-73.880102,Norwood,10467
Montefiore MAP Building,Doctor's Office,40.879876,-73.878536,Norwood,10467
Bainbridge Optical,Optometrist,40.874347,-73.879208,Norwood,10467
Montefiore Sleep Disorders Center,Internal Medicine Doctor,40.87983,-73.878228,Norwood,10467
Montefiore Medical Center,Health and Medicine,40.880007,-73.879724,Norwood,10467
Montefiore Department of Ophthalmology,Medical Center,40.880035,-73.878674,Norwood,10467
Fromers Eye Centers,Optometrist,40.876344,-73.883442,Norwood,10458
Concerned Dental Care of the Bronx,Dentist,40.879114,-73.882888,Norwood,10467
Bainbridge Eye Care,Ophthalmologist,40.873834,-73.879537,Norwood,10467
The Children's Hospital At Montefiore,Hospital,40.879862,-73.879061,Norwood,10467
North Central Bronx Hospital,Hospital,40.880453,-73.881273,Norwood,10467
Montefiore Advanced Imaging,Medical Center,40.88028,-73.877544,Norwood,10467
Family Care Center,Pediatrician,40.88083,-73.881331,Norwood,10467
Roshe Dental Group,Dentist,40.881183,-73.878147,Norwood,10467
Perry Avenue Family Medical,Family Medicine Doctor,40.872943,-73.879156,Norwood,10467
Montefiore Hospital Clinic Building,Doctor's Office,40.880993,-73.881293,Norwood,10467
Dr Cohen's Office,Doctor's Office,40.881452,-73.8782,Norwood,10467
The Dermatology Center,Doctor's Office,40.881401,-73.878067,Norwood,10467
Metro UrgiCare,Health and Medicine,40.876841,-73.885124,Norwood,10458
Westchester Square Physical Therapy,Physical Therapy Clinic,40.875964,-73.879355,Norwood,10467
DN Family Dental Care,Dentist,40.875983,-73.879765,Norwood,10467
Montefiore Medical Center,Health and Medicine,40.87825,-73.880797,Norwood,10467
TherapyCare Physical Therapy,Physical Therapy Clinic,40.875089,-73.879761,Norwood,10467
Cisnero G DDS,Dentist,40.879463,-73.879879,Norwood,10467
Thomas Mark A MD - Montefiore Physical Medicine & Rehabilitation,Health and Medicine,40.87958,-73.879533,Norwood,10467
Barbara Dunn MD,Physician,40.87972,-73.88037,Norwood,10467
"Ferrara, Lucille R",Health and Medicine,40.879771,-73.880503,Norwood,10467
Albert Einstein-Jack D Weiler,Health and Medicine,40.879984,-73.87854,Norwood,10467
"Park Steven Y MD - Steven Park, MD",Physician,40.880035,-73.878674,Norwood,10467
Montefiore Medical Group,Physician,40.880092,-73.878544,Norwood,10467
Henkind Eye Institute,Pediatrician,40.880092,-73.878544,Norwood,10467
Diversified Dental Svces,Dentist,40.879167,-73.882933,Norwood,10467
Lamour Jacqueline Md Childrens Hospital At Montefiore Medical Center Spec Clinic Bronx,Healthcare Clinic,40.880623,-73.878914,Norwood,10467
Montefiore Med-Radiatn Onclgy,General Surgeon,40.880646,-73.880098,Norwood,10467
Main Street Group Holdings,Home Health Care Service,40.879565,-73.875941,Norwood,10467
Montefiore Hospital,Hospital,40.880393,-73.877373,Norwood,10467
Binstock Lanny OD,Optometrist,40.880701,-73.880056,Norwood,10467
Montiefore Hospital,Hospital,40.880765,-73.879664,Norwood,10467
Montefiore Medical Center - Oncology,Health and Medicine,40.880754,-73.880102,Norwood,10467
Ferkauf Graduate Sch-Psychlgy,Psychologist,40.880754,-73.880102,Norwood,10467
Montefiore Home Health Care,Home Health Care Service,40.880754,-73.880102,Norwood,10467
Victor Sidel MD,Physician,40.880754,-73.880102,Norwood,10467
"Montefiore Medical Center - Jack d Weller Hospital Of The Albert Einstein Colle, Billing, Finance",Hospital,40.880862,-73.880106,Norwood,10467
Kirti Tewari Dental P C,Dentist,40.882936,-73.862664,Williamsbridge,10467
